point,step,Privacy cost
0,0,2.0433133081088073e-05
0,200,0.00041687267692269714
0,500,7.0667915963440464e-12
0,700,0.00044257132488523254
0,900,0.0004276054265464069
0,1200,0.00043545554980362056
0,1400,0.0004191311156946931
0,1600,0.0004171750798183105
0,1900,0.00042620835420903447
0,2100,1.9203407201739964e-05
0,2300,0.0004246233619675799
0,2600,0.0004164067784606651
0,2800,0.0005153922455756188
0,3000,0.0005100826066266606
0,3300,6.969536059386883e-12
0,3500,0.00041867018296093406
0,3700,0.0004351694444677534
0,4000,8.183170141506935e-09
0,4200,0.0005258352916248654
0,4400,0.0008395910512506433
0,4600,0.000521479966875571
0,4900,0.0005206742611196802
0,5100,0.0005508882698093132
0,5300,2.8914325520545958e-05
0,5600,0.000520604895198673
0,5800,0.0005208748917677752
0,6000,9.583445148564351e-12
0,6300,0.000568042453437112
0,6500,0.000544478506639301
0,6700,0.000810363724327523
0,7000,0.000520545584766996
0,7200,7.032440407783724e-09
0,7400,0.0006377371520351893
0,7700,0.0012718604665518107
0,7900,0.0008299682739316694
0,8100,0.0007929801761936695
0,8400,0.0007877383122982806
0,8600,0.0006385252566030175
0,8800,0.000636418302104591
0,9100,0.0007216913644194634
0,9300,0.0007429552171220877
1,0,1.8582919284693133e-05
1,200,0.0002257110419194852
1,500,0.00042142417902812923
1,700,0.00041702308930124943
1,900,0.00042083108156676374
1,1200,6.969536059386883e-12
1,1400,0.00042974883253199536
1,1600,6.969536059386883e-12
1,1900,6.969536059386883e-12
1,2100,6.969536059386883e-12
1,2300,6.969536059386883e-12
1,2600,6.969536059386883e-12
1,2800,6.969536059386883e-12
1,3000,6.969536059386883e-12
1,3300,6.969536059386883e-12
1,3500,6.969536059386883e-12
1,3700,0.0008282907383065918
1,4000,9.098943820617933e-12
1,4200,9.098943820617933e-12
1,4400,9.098943820617933e-12
1,4600,0.0005436560291238735
1,4900,9.098943820617933e-12
1,5100,9.098943820617933e-12
1,5300,9.098943820617933e-12
1,5600,9.098943820617933e-12
1,5800,1.0647926984574951e-11
1,6000,9.098943820617933e-12
1,6300,9.098943820617933e-12
1,6500,9.098943820617933e-12
1,6700,9.098943820617933e-12
1,7000,9.098943820617933e-12
1,7200,7.16315895488151e-12
1,7400,7.16315895488151e-12
1,7700,7.16315895488151e-12
1,7900,7.16315895488151e-12
1,8100,7.16315895488151e-12
1,8400,7.16315895488151e-12
1,8600,9.355582086811864e-09
1,8800,0.0006411489762800926
1,9100,2.879992382354146e-07
1,9300,0.0007055710699335194
2,0,1.4426219988816769e-05
2,200,0.0004165900834558478
2,500,0.0004225603172969272
2,700,0.0004978581673644733
2,900,0.0003462457475786884
2,1200,9.217742569234133e-09
2,1400,0.00048201726326002614
2,1600,0.0004171489216093782
2,1900,0.00047658458242061386
2,2100,0.0006138720760873184
2,2300,4.555293919850101e-10
2,2600,6.969536059386883e-12
2,2800,6.969536059386883e-12
2,3000,6.969536059386883e-12
2,3300,0.0004181805201510791
2,3500,6.969536059386883e-12
2,3700,6.969536059386883e-12
2,4000,9.098943820617933e-12
2,4200,9.098943820617933e-12
2,4400,9.098943820617933e-12
2,4600,0.0008129563340335544
2,4900,9.098943820617933e-12
2,5100,0.0005318111843810591
2,5300,9.098943820617933e-12
2,5600,0.0005242972588819228
2,5800,8.763655534593795e-08
2,6000,0.0005319259449616531
2,6300,0.000520980062577614
2,6500,1.1387459863954064e-08
2,6700,9.098943820617933e-12
2,7000,0.0005205325690420537
2,7200,0.0009045409275940663
2,7400,0.0008605181087206759
2,7700,7.16315895488151e-12
2,7900,0.0006365395661545037
2,8100,0.00127186137635249
2,8400,0.0006775030855301623
2,8600,7.260414491838674e-12
2,8800,0.0006362722092161377
2,9100,0.0006392493035769498
2,9300,3.959055305813308e-11
3,0,1.2966537660474842e-05
3,200,1.8425421188794644e-09
3,500,6.969536059386883e-12
3,700,0.0004260905026858275
3,900,6.969536059386883e-12
3,1200,6.969536059386883e-12
3,1400,6.969536059386883e-12
3,1600,2.4563205340832894e-06
3,1900,9.382342976449465e-05
3,2100,8.324896327849274e-12
3,2300,6.969536059386883e-12
3,2600,5.926321098748133e-06
3,2800,6.969536059386883e-12
3,3000,0.0004185970365275793
3,3300,6.969536059386883e-12
3,3500,2.603872673034857e-11
3,3700,6.969536059386883e-12
3,4000,0.0010406170048349317
3,4200,9.098943820617933e-12
3,4400,0.0010406142135801488
3,4600,0.0010406140895824478
