step,point,distance (sum)
0,9,0.0009183149700000001
200,9,0.00390625
500,9,2.99785028801125e-07
700,9,0.003906246041879
900,9,0.0008723472128622
1200,9,0.0039062451105564
1400,9,0.0003386048483662
1600,9,0.0039062404539436007
1900,9,1.9912302917646243e-08
2100,9,0.0006244994001463
2300,9,2.149642341464641e-06
2600,9,2.9785666121051594e-12
2800,9,0.0039062504656612
3000,9,3.514510210633759e-11
3300,9,3.122170522118494e-09
3500,9,4.298951949976981e-08
3700,9,1.809660989040164e-14
4000,9,1.97384643352283e-12
4200,9,0.0039062497671693
4400,9,4.270145428894545e-21
4600,9,3.667680920249576e-22
4900,9,5.779745393397208e-08
5100,9,0.0039062474388629
5300,9,0.0039062479045242
5600,9,0.0039062523283064
5800,9,1.0873104656639043e-06
6000,9,1.3222734196460806e-05
6300,9,2.5327131245170877e-25
6500,9,5.34771480431573e-08
6700,9,0.0039062509313225
7000,9,2.721231794566848e-05
7200,9,1.4025920317762078e-14
7400,9,3.38853900217192e-24
7700,9,0.0039062523283064
7900,9,0.0039062490686774
8100,9,0.0039062497671693
8400,9,7.760925790911693e-10
8600,9,1.8400267420837224e-10
8800,9,0.0003166180686093
9100,9,0.0039062504656612
9300,9,1.9641642268197762e-07
