step,point,distance (sum)
0,3,0.0007817199
200,3,8.202500794141088e-06
500,3,1.55932192613846e-13
700,3,0.0039062513969838
900,3,1.7497290727419568e-08
1200,3,6.860208928705092e-11
1400,3,1.932685134266385e-16
1600,3,0.0003000614524353
1900,3,0.0018544404301791997
2100,3,2.1913000125550768e-07
2300,3,8.93600193840882e-10
2600,3,0.00046607974218200004
2800,3,5.016068671537255e-10
3000,3,0.00390625
3300,3,8.263672732211624e-12
3500,3,8.34173761177226e-07
3700,3,2.066584719423747e-22
4000,3,0.0039062583819031
4200,3,2.192405111622886e-12
4400,3,0.0039062451105564
4600,3,0.0039062509313225
4900,3,2.2441943162317825e-21
5100,3,1.4538118972562408e-12
5300,3,4.714589572019288e-20
5600,3,0.0039062425494194005
5800,3,0.0039062486030161
6000,3,5.3475691147541255e-19
6300,3,0.0039062469732016
6500,3,2.1122227671619998e-16
6700,3,6.404407711622928e-13
7000,3,0.0
7200,3,6.104502753984109e-13
7400,3,3.8687831738627583e-25
7700,3,4.1359030627651375e-25
7900,3,1.4031792261448572e-06
8100,3,1.5499266742415155e-18
8400,3,8.670113442809261e-18
8600,3,0.0039062497671693
8800,3,2.2612181456025213e-18
9100,3,3.6700964754502353e-22
9300,3,2.256294803770764e-11
